sample_id,signature,n_genes_defined,n_genes_present,genes_present,genes_missing
GSM8576303_BM2,Primitive_like_AML,6,6,"CD34,PROM1,KIT,MEIS1,HOXA9,GATA2",
GSM8576303_BM2,Committed_like_AML,6,6,"MPO,AZU1,ELANE,PRTN3,FCGR3B,LTF",
GSM8576303_BM2,Immune_suppression,6,6,"LILRB4,LGALS9,CD274,HAVCR2,TIGIT,CTLA4",
GSM8576304_EM2,HSPC_primitive,8,8,"CD34,PROM1,AVP,MEIS1,HOXA9,KIT,GATA2,MLLT3",
GSM8576304_EM2,Myeloid_granulocytic,8,8,"MPO,ELANE,AZU1,PRTN3,CTSG,LTF,S100A8,S100A9",
GSM8576304_EM2,Monocyte_macrophage,8,7,"LYZ,LST1,S100A8,S100A9,CTSS,TYROBP,MS4A7",FCN1
GSM8576304_EM2,Erythroid,7,6,"HBB,HBA2,ALAS2,KLF1,GYPA,AHSP",HBA1
GSM8576304_EM2,B_cell,6,6,"MS4A1,CD79A,CD79B,BANK1,CD74,IGHM",
GSM8576304_EM2,T_NK,7,7,"CD3D,CD3E,TRAC,NKG7,GNLY,GZMB,IL7R",
GSM8576304_EM2,MSC_stromal,8,8,"CXCL12,LEPR,PDGFRA,PDGFRB,VCAM1,KITLG,NT5E,ENG",
GSM8576304_EM2,Endothelial_vascular,7,7,"PECAM1,VWF,KDR,ESAM,EMCN,CLDN5,FLT1",
GSM8576304_EM2,Osteolineage_endosteal,7,7,"BGLAP,SPP1,RUNX2,COL1A1,COL1A2,IBSP,ALPL",
GSM8576304_EM2,Adipocytic,6,6,"ADIPOQ,PLIN1,FABP4,LPL,PPARG,CEBPA",
GSM8576304_EM2,ECM_matrix,7,7,"COL1A1,COL1A2,COL3A1,FN1,DCN,LUM,MMP2",
GSM8576304_EM2,Inflammatory,7,7,"IL1B,TNF,CXCL8,CCL2,CCL3,CCL4,NFKBIA",
GSM8576304_EM2,CXCL12_CXCR4_axis,5,5,"CXCL12,CXCR4,ACKR3,KITLG,VCAM1",
GSM8576304_EM2,Hypoxia_stress,6,4,"HIF1A,VEGFA,SLC2A1,DDIT4","LDHA,BNIP3"
GSM8576304_EM2,AML_blast_like,8,8,"MPO,AZU1,PRTN3,ELANE,KIT,CD34,PROM1,HOXA9",
GSM8576304_EM2,Primitive_like_AML,6,6,"CD34,PROM1,KIT,MEIS1,HOXA9,GATA2",
GSM8576304_EM2,Committed_like_AML,6,6,"MPO,AZU1,ELANE,PRTN3,FCGR3B,LTF",
GSM8576304_EM2,Immune_suppression,6,6,"LILRB4,LGALS9,CD274,HAVCR2,TIGIT,CTLA4",
GSM8576305_EM1_v1,HSPC_primitive,8,8,"CD34,PROM1,AVP,MEIS1,HOXA9,KIT,GATA2,MLLT3",
GSM8576305_EM1_v1,Myeloid_granulocytic,8,8,"MPO,ELANE,AZU1,PRTN3,CTSG,LTF,S100A8,S100A9",
GSM8576305_EM1_v1,Monocyte_macrophage,8,8,"LYZ,LST1,S100A8,S100A9,FCN1,CTSS,TYROBP,MS4A7",
